"utterance","episode_name","season","episode_number","character"
"[INDISTINCT SCREECHING]","Chapter One The Vanishing of Will Byers","1","1","Scene Description"
"[SCREECHING INTENSIFIES]","Chapter One The Vanishing of Will Byers","1","1","Scene Description"
"[SCREECHING STOPS]","Chapter One The Vanishing of Will Byers","1","1","Scene Description"
"[THEME MUSIC PLAYING]","Chapter One The Vanishing of Will Byers","1","1","Scene Description"
"[INDISTINCT CHATTER ON TV]","Chapter One The Vanishing of Will Byers","1","1","Scene Description"
"[WOMAN ON TV] And that’s it for News Center this morning.","Chapter One The Vanishing of Will Byers","1","1",NA
"Thanks for joining us.","Chapter One The Vanishing of Will Byers","1","1",NA
"Let’s hand off now to Liz at the news desk.","Chapter One The Vanishing of Will Byers","1","1",NA
"[NEWSCASTER ON TV] All right, thank you, Donna.","Chapter One The Vanishing of Will Byers","1","1",NA
"Turning now to local news,","Chapter One The Vanishing of Will Byers","1","1",NA
"we’re getting reports of surges and power outages all across the county.","Chapter One The Vanishing of Will Byers","1","1",NA
"Last night, hundreds of homes in East Hawkins were affected,","Chapter One The Vanishing of Will Byers","1","1",NA
"leaving many residents in the dark.","Chapter One The Vanishing of Will Byers","1","1",NA
"The cause of the outage is still unknown.","Chapter One The Vanishing of Will Byers","1","1",NA
"We reached out to Roane County Water and Electric,","Chapter One The Vanishing of Will Byers","1","1",NA
"and a spokesperson says","Chapter One The Vanishing of Will Byers","1","1",NA
"that they are confident power will be restored to all remaining homes","Chapter One The Vanishing of Will Byers","1","1",NA
"within the next several hours.","Chapter One The Vanishing of Will Byers","1","1",NA
"[NEWS CONTINUES INDISTINCTLY]","Chapter One The Vanishing of Will Byers","1","1","Scene Description"
"[DOG BARKING]","Chapter One The Vanishing of Will Byers","1","1","Scene Description"
"[SNORTS]","Chapter One The Vanishing of Will Byers","1","1","Scene Description"
"[SIGHS]","Chapter One The Vanishing of Will Byers","1","1","Scene Description"
"[GROANS]","Chapter One The Vanishing of Will Byers","1","1","Scene Description"
"[WATCH BEEPS]","Chapter One The Vanishing of Will Byers","1","1","Scene Description"
"[LIGHTER FLICKS]","Chapter One The Vanishing of Will Byers","1","1","Scene Description"
"[INHALES AND EXHALES DEEPLY]","Chapter One The Vanishing of Will Byers","1","1","Scene Description"
"Mmm.","Chapter One The Vanishing of Will Byers","1","1",NA
"[GROANS]","Chapter One The Vanishing of Will Byers","1","1","Scene Description"
"[EXHALES]","Chapter One The Vanishing of Will Byers","1","1","Scene Description"
"[SIGHS]","Chapter One The Vanishing of Will Byers","1","1","Scene Description"
"In other news, you might wanna stay home tonight","Chapter One The Vanishing of Will Byers","1","1",NA
"or at least pack an umbrella.","Chapter One The Vanishing of Will Byers","1","1",NA
"We turn to everybody’s favorite morning weather guy, Charles.","Chapter One The Vanishing of Will Byers","1","1",NA
"[BIRDS CHIRPING]","Chapter One The Vanishing of Will Byers","1","1","Scene Description"
"Where the hell are they?","Chapter One The Vanishing of Will Byers","1","1","Joyce"
"Jonathan?","Chapter One The Vanishing of Will Byers","1","1",NA
"Check the couch!","Chapter One The Vanishing of Will Byers","1","1",NA
"Ugh, I did.","Chapter One The Vanishing of Will Byers","1","1",NA
"Oh... Got them.","Chapter One The Vanishing of Will Byers","1","1",NA
"Okay, sweetie, I will see you tonight.","Chapter One The Vanishing of Will Byers","1","1",NA
"Yeah, see you later.","Chapter One The Vanishing of Will Byers","1","1",NA
"Where’s Will?","Chapter One The Vanishing of Will Byers","1","1",NA
"Oh, I didn’t get him up yet.","Chapter One The Vanishing of Will Byers","1","1",NA
"He’s probably still sleeping.","Chapter One The Vanishing of Will Byers","1","1",NA
"[SIGHS]","Chapter One The Vanishing of Will Byers","1","1","Scene Description"
"Jonathan, you have to make sure he’s up!","Chapter One The Vanishing of Will Byers","1","1",NA
"Mom, I’m making breakfast.","Chapter One The Vanishing of Will Byers","1","1",NA
"I told you this a thousand times.","Chapter One The Vanishing of Will Byers","1","1",NA
"Will! Come on, honey. It’s time to get up.","Chapter One The Vanishing of Will Byers","1","1",NA
"He came home last night, right?","Chapter One The Vanishing of Will Byers","1","1",NA
"He’s not in his room?","Chapter One The Vanishing of Will Byers","1","1",NA
"Did he come home or not?","Chapter One The Vanishing of Will Byers","1","1",NA
"I don’t know.","Chapter One The Vanishing of Will Byers","1","1",NA
"You don’t know?","Chapter One The Vanishing of Will Byers","1","1",NA
"No.","Chapter One The Vanishing of Will Byers","1","1",NA
"[STAMMERING] I got home late. I was working.","Chapter One The Vanishing of Will Byers","1","1",NA
"You were working?","Chapter One The Vanishing of Will Byers","1","1",NA
"Eric asked if I could cover. I said yeah.","Chapter One The Vanishing of Will Byers","1","1",NA
"I just thought we could use the extra cash.","Chapter One The Vanishing of Will Byers","1","1",NA
"Jonathan, we’ve talked about this.","Chapter One The Vanishing of Will Byers","1","1",NA
"I know, I know.","Chapter One The Vanishing of Will Byers","1","1",NA
"You can’t take shifts when I’m working.","Chapter One The Vanishing of Will Byers","1","1",NA
"Mom, it’s not a big deal. Look, he was at the Wheelers’ all day.","Chapter One The Vanishing of Will Byers","1","1",NA
"I’m sure he just stayed over.","Chapter One The Vanishing of Will Byers","1","1",NA
"[SIGHS] I can’t believe you.","Chapter One The Vanishing of Will Byers","1","1",NA
"I can’t believe you sometimes.","Chapter One The Vanishing of Will Byers","1","1",NA
"[PHONE RINGING]","Chapter One The Vanishing of Will Byers","1","1","Scene Description"
"That’s disgusting.","Chapter One The Vanishing of Will Byers","1","1",NA
"MIKE: You’re disgusting!","Chapter One The Vanishing of Will Byers","1","1",NA
"Hello?","Chapter One The Vanishing of Will Byers","1","1",NA
"Hi, Karen. It’s Joyce.","Chapter One The Vanishing of Will Byers","1","1",NA
"KAREN: Oh, Joyce, hi.","Chapter One The Vanishing of Will Byers","1","1",NA
"What the hell, Mike?","Chapter One The Vanishing of Will Byers","1","1",NA
"TED: Hey!","Chapter One The Vanishing of Will Byers","1","1",NA
"Quiet!","Chapter One The Vanishing of Will Byers","1","1",NA
"Language.","Chapter One The Vanishing of Will Byers","1","1",NA
"Are you kidding?","Chapter One The Vanishing of Will Byers","1","1",NA
"Was that Will I heard back there?","Chapter One The Vanishing of Will Byers","1","1",NA
"Will? No, no, no, it’s just Mike.","Chapter One The Vanishing of Will Byers","1","1",NA
"Will didn’t spend the night?","Chapter One The Vanishing of Will Byers","1","1",NA
"No, he left here a little bit after 8:00.","Chapter One The Vanishing of Will Byers","1","1","Karen"
"Why? He’s not home?","Chapter One The Vanishing of Will Byers","1","1",NA
"Um, you know what? I think he just left early for... for school.","Chapter One The Vanishing of Will Byers","1","1",NA
"Thank you so much. Bye.","Chapter One The Vanishing of Will Byers","1","1",NA
"Okay. Bye.","Chapter One The Vanishing of Will Byers","1","1",NA
"[SCHOOL BELL RINGING]","Chapter One The Vanishing of Will Byers","1","1","Scene Description"
"That’s weird. I don’t see him.","Chapter One The Vanishing of Will Byers","1","1",NA
"I’m telling you, his mom’s right.","Chapter One The Vanishing of Will Byers","1","1","Lucas"
"He probably just went to class early again.","Chapter One The Vanishing of Will Byers","1","1",NA
"Yeah, he’s always paranoid Gursky’s gonna give him another pop quiz.","Chapter One The Vanishing of Will Byers","1","1",NA
"Step right up, ladies and gentlemen.","Chapter One The Vanishing of Will Byers","1","1",NA
"Step right up and get your tickets for the freak show.","Chapter One The Vanishing of Will Byers","1","1",NA
"Who do you think would make more money in a freak show?","Chapter One The Vanishing of Will Byers","1","1",NA
"Midnight, Frogface, or Toothless?","Chapter One The Vanishing of Will Byers","1","1",NA
